Object,Close-Approach (CA) Date,CA DistanceNominal (km),CA DistanceMinimum (km),V relative(km/s),V infinity(km/s),H(mag),Diameter,Rarity,diameter_m,is_potentially_hazardous
(2025 EL4),2025-Mar-23 00:28 ± < 00:01,12054854,12054744,17.7,17.7,21.0,160 m -  370 m,0,265.0,True
85953 (1999 FK21),2025-Apr-08 05:52 ± < 00:01,12078252,12078244,18.99,18.99,18.1,0.59 km,1,,True
377097 (2002 WQ4),2024-Dec-26 20:27 ± < 00:01,12109538,12109517,14.28,14.28,19.7,300 m -  680 m,1,490.0,True
438017 (2003 YO3),2025-Jan-07 08:24 ± < 00:01,12136326,12136265,15.28,15.27,18.5,520 m -  1.2 km,1,,True
887 Alinda (A918 AA),2025-Jan-08 13:40 ± < 00:01,12296605,12296604,8.25,8.24,13.8,4.2 km,3,,True
(2007 VX6),2024-Nov-14 06:29 ± < 00:01,12357137,12357106,26.61,26.61,20.6,200 m -  460 m,0,330.0,True
(2025 JL2),2025-May-14 17:24 ± < 00:01,12394051,12371660,29.54,29.54,21.6,130 m -  290 m,0,210.0,True
(2025 DJ53),2025-May-09 22:13 ± < 00:01,12546338,12546297,17.5,17.5,18.8,470 m -  1.0 km,1,,True
(2008 QU3),2025-Aug-08 20:05 ± < 00:01,12707301,12707185,10.86,10.85,20.6,200 m -  440 m,0,320.0,True
(2024 WL15),2024-Nov-26 22:52 ± < 00:01,12741553,12724579,17.27,17.27,21.3,150 m -  330 m,0,240.0,True
(2003 TR9),2024-Oct-10 13:02 ± < 00:01,12755047,12754994,26.22,26.22,21.3,140 m -  320 m,0,230.0,True
(2024 FP2),2025-Apr-22 11:16 ± < 00:01,12802208,12802147,16.65,16.65,21.3,150 m -  330 m,0,240.0,True
(2020 XT5),2025-Mar-12 22:00 ± < 00:01,12936187,12936146,16.92,16.92,19.5,340 m -  750 m,1,545.0,True
(2007 MK6),2025-Jun-13 23:18 ± < 00:01,13073708,13073671,28.9,28.9,20.2,240 m -  550 m,1,395.0,True
(2020 KR4),2025-Jun-11 15:23 ± < 00:01,13213182,13213112,31.86,31.85,21.0,170 m -  380 m,0,275.0,True
163899 (2003 SD220),2024-Dec-02 12:36 ± < 00:01,13215342,13215342,5.48,5.48,17.6,0.791±0.025 km,1,,True
(2021 VO6),2025-Jun-15 16:59 ± < 00:01,13248958,13248582,16.19,16.18,21.1,160 m -  350 m,0,255.0,True
66146 (1998 TU3),2024-Nov-05 19:47 ± < 00:01,13290711,13290707,11.53,11.53,14.4,2.864±1.165 km,3,,True
